=== RESULTADO DA QUERY 1 ===
linhas_alvo: 16055

=== RESULTADO DA QUERY 2 (Amostra 200) ===
id       | ts_local             | imp      | ger      | exp      | consumo_calc
25161    | 2026-07-12 05:46:35  | 366.0    | 0.0      | 0.0      | 366.0       
25160    | 2026-07-12 05:41:34  | 437.0    | 0.0      | 0.0      | 437.0       
25159    | 2026-07-12 05:36:33  | 1612.0   | 0.0      | 0.0      | 1612.0      
25158    | 2026-07-12 05:31:32  | 609.0    | 0.0      | 0.0      | 609.0       
25157    | 2026-07-12 05:26:31  | 442.0    | 0.0      | 0.0      | 442.0       
25156    | 2026-07-12 05:21:30  | 591.0    | 0.0      | 0.0      | 591.0       
25155    | 2026-07-12 05:16:29  | 440.0    | 0.0      | 0.0      | 440.0       
25154    | 2026-07-12 05:11:28  | 1812.0   | 0.0      | 0.0      | 1812.0      
25153    | 2026-07-12 05:06:27  | 453.0    | 0.0      | 0.0      | 453.0       
25152    | 2026-07-12 05:01:26  | 589.0    | 0.0      | 0.0      | 589.0       
25151    | 2026-07-12 04:56:25  | 1464.0   | 0.0      | 0.0      | 1464.0      
25150    | 2026-07-12 04:51:24  | 494.0    | 0.0      | 0.0      | 494.0       
25149    | 2026-07-12 04:46:23  | 346.0    | 0.0      | 0.0      | 346.0       
25148    | 2026-07-12 04:41:22  | 1778.0   | 0.0      | 0.0      | 1778.0      
25147    | 2026-07-12 04:36:20  | 348.0    | 0.0      | 0.0      | 348.0       
25146    | 2026-07-12 04:31:20  | 1638.0   | 0.0      | 0.0      | 1638.0      
25145    | 2026-07-12 04:26:19  | 373.0    | 0.0      | 0.0      | 373.0       
25144    | 2026-07-12 04:21:18  | 509.0    | 0.0      | 0.0      | 509.0       
25143    | 2026-07-12 04:16:17  | 1511.0   | 0.0      | 0.0      | 1511.0      
25142    | 2026-07-12 04:11:15  | 502.0    | 0.0      | 0.0      | 502.0       
25141    | 2026-07-12 04:06:14  | 1750.0   | 0.0      | 0.0      | 1750.0      
25140    | 2026-07-12 04:01:14  | 1760.0   | 0.0      | 0.0      | 1760.0      
25139    | 2026-07-12 03:56:13  | 1490.0   | 0.0      | 0.0      | 1490.0      
25138    | 2026-07-12 03:51:12  | 547.0    | 0.0      | 0.0      | 547.0       
25137    | 2026-07-12 03:46:10  | 399.0    | 0.0      | 0.0      | 399.0       
25136    | 2026-07-12 03:41:09  | 1774.0   | 0.0      | 0.0      | 1774.0      
25135    | 2026-07-12 03:36:08  | 409.0    | 0.0      | 0.0      | 409.0       
25134    | 2026-07-12 03:31:08  | 1840.0   | 0.0      | 0.0      | 1840.0      
25133    | 2026-07-12 03:26:07  | 414.0    | 0.0      | 0.0      | 414.0       
25132    | 2026-07-12 03:21:05  | 535.0    | 0.0      | 0.0      | 535.0       
25131    | 2026-07-12 03:16:04  | 1608.0   | 0.0      | 0.0      | 1608.0      
25130    | 2026-07-12 03:11:03  | 432.0    | 0.0      | 0.0      | 432.0       
25129    | 2026-07-12 03:06:02  | 507.0    | 0.0      | 0.0      | 507.0       
25128    | 2026-07-12 03:01:01  | 1657.0   | 0.0      | 0.0      | 1657.0      
25127    | 2026-07-12 02:56:00  | 521.0    | 0.0      | 0.0      | 521.0       
25126    | 2026-07-12 02:51:00  | 1442.0   | 0.0      | 0.0      | 1442.0      
25125    | 2026-07-12 02:45:59  | 546.0    | 0.0      | 0.0      | 546.0       
25124    | 2026-07-12 02:40:58  | 558.0    | 0.0      | 0.0      | 558.0       
25123    | 2026-07-12 02:35:57  | 1854.0   | 0.0      | 0.0      | 1854.0      
25122    | 2026-07-12 02:30:55  | 2357.0   | 0.0      | 0.0      | 2357.0      
25121    | 2026-07-12 02:25:54  | 1715.0   | 0.0      | 0.0      | 1715.0      
